  1071,    47,   648,   726,   620,   205
  -613,   236,  2448,   886, -1338,   516
  -206,   161,  1529,  1128,   337,   572
  -726,   546,  1879,   388,  -323,   532
  -531,   194,  1888,  -237,  -365,   391
  -282,  -224,  1867,  -301,  -225,   216
  -331,   270,  2096,   204,  -112,   333
  -677,   863,  2444,    43,  -134,   531
  -403,   866,  1907,  -965,  -398,   804
  -132,   326,  1557, -1127,  -532,   446
  -330,    90,  1647, -1349,  -222,  -149
  -395,  -230,  2156,  -619,  -316,  -202
  -138,    56,  2046,   250,  -311,   -23
    -5,   481,  2022,   536,   -19,    18
  -372,   506,  1958,  -102,    53,   -77
  -453,   244,  1929,  -608,   -92,  -188
  -118,  -101,  2073,  -271,   -54,  -101
  -473,   478,  1416,   853,  -776,  -665
  -198,   426,  1875,  -170,    69,  -327
    73,  -163,  1782,   -75,  -291,  -552
  -564,   120,  2191,  -261,    90,  -205
  -491,  -296,  2436,    96,   -33,     5
   -36,     6,  2214,   582,   166,  -180
   145,   448,  2138,   349,   557,  -232
  -376,    -7,  1885,    96,  1323,   -69
  -344,  -380,  1760,   107,  1361,    46
 -1157,   289,  1704,  -188,   762,   635
   159,  -258,   386,   195,  -231,  1228
 -1457,   169,  2518,   658,  -463,   788
  -583,   585,  2428,   -49,  -366,     9
   -46,   315,   925,  -309,   -49,  -135
  -709,   338,  2152,  -119,  -860,   -38
  -584,    33,  2739,   -91, -1310,   565
  -153,  -134,  1730,   472,  -981,   831
 -7016,   566,  8687,   812, -3034,   169
  -493,   403,  1629,  -273,   236,   -61
   120,  -362,  1645,   309,    11,     3
   213,   306,  1578,   660,  1103,   221
  -255,   599,  1911,   421,   -51,   106
  -192,   338,  1686,   222,  -351,   -67
  -183,   173,  1896,   208,   -83,  -140
  -384,   708,  2176,   -80,    37,   -63
  -605,   279,  2401,    16,   -83,   -20
  -262,   -59,  2148,   318,   -70,   -23
    83,    46,  2064,   384,   400,    60
  -195,   353,  1971,   953,   -38,     5
  -142,   621,  1933,   951,   -49,   148
  -182,   792,  1735,   652,  -171,    32
  -270,   697,  1668,   221,  -105,    51
  -311,   422,  1887,  -123,    29,   167
  -230,   331,  2091,   350,   -55,   197
  -152,   275,  1042,   475,   354,   196
   922,  1242,   701,  -373,    74,  -481
  -129,   561,  2639,  -804,  1569,  -348
  -558,    96,  2423,  -312,   824,  -518
  -335,   519,  1521,   -75,   689,  -279
  -837,   611,  1411,  -553,   796,    38
  -875,   314,  2045,  -786,   122,   206
 -1034,   188,  2429,  -230,  -695,   193
  -308,   135,  2081,   240,  -913,   -23
   811,  1138,  2940,   999,   -21,   413
   557,  -369,   492, -1294,  -651, -1164
 -1260,   347,  2394,  2225,  1006,   602
  -981,  2123,  3041,   104,   215,   330
  -181,   935,  1584,  -910,  -147,  -434
   -49, -1330,  3052,  -312,   -45, -1557
   461,   455,  1200,   153,  -331, -1457
 -2259,  -221,  2063,  1193,  -300,  -185
 -1032,   833,  1737,   817, -1498,    -6
   517,   527,  1566,  -145, -1137,   161
  -305,   208,  2679,   699,  -524,  -684
   339,   838,  2634,   738,  -335, -1202
  -118,   345,  1613,   671,   336,  -662
  -897,   968,  1329,  -149,   392,  -608
 -1015,   413,  1920,  -504,   197,  -349
  -333,     7,  2296,  -299,   117,  -121
  -502,   286,  2303,   606,   264,  -135
  -762,   692,  2027,    50,  -242,   -20
  -420,   388,  1329,  -198,  -181,   292
  -536,   235,  1804,   -16,  -227,   433
  -500,   760,  1975,   155,   -90,   682
  -210,   814,  1911,    70,   105,  1028
  -288,   766,  1298,   219,   156,  1281
  -299,   988,  1693,   147,    -6,  1740
  -243,   486,  2679,    78,  -267,  1529
   216,   -28,  2014,  -654,  -152,   229
   -47,  -187,  2175,   -85,   298,   353
  -256,   -76,  2098,  1105,   988,   885
  -344,    54,  1986,  1569,  1184,   668
  -578,   588,  1769,  1385,  1073,  -224
  -564,  1326,  1417,   571,  1202,  -459
  -112,  1040,  1396,  -343,  1457,  -251
  -622,   634,  1796,  -431,  1497,  -500
 -1263,   798,  2346,    31,   607,  -698
 -1263,   798,  2346,    31,   607,  -698
  -227,   962,  1621,    98,   -59,  -763
  -226,   878,  1643,  -151,   469,  -353
  -683,   554,  1732,  -317,   632,  -558
  -830,   721,  1561,  -764,   677,  -957
  -962,   807,  1931,  -976,   484,  -533
   -57,   505,   850,  -282,  -279,   840
   146,  -286,  1636,   866,  1556,   689
  -400,  -502,  3162,   840,  1345,    40
  -390,   679,  2003,   306,   808,  -248
  -177,    65,  1183,  -741,   661,    78
   270,   309,  2317,   -27,  1300,   247
  -688,   -80,  1689,   242,  1441,   153
 -1448,   164,  2072,   439,  1453,    26
  -873,   253,  2192,  -137,   677,  -119
  -568,    27,  1651,  -134,   843,  -241
  -926,  -194,  2218,   164,   533,  -327
  -594,   442,  2248,    77,  -152,  -311
   -63,    26,  1418,  -125,    23,   -42
  -926,   -20,  1861,   452,   479,    67
 -1192,    28,  2279,   586,    -6,    94
  -727,   293,  1794,   585,  -152,    52
  -728,   122,  1854,    11,  -142,  -266
  -853,   539,  2100,   332,  -339,  -393
  -740,   336,  1874,   173,  -442,  -468
  -893,    33,  1742,   416,  -584,  -411
 -1273,   -54,  2103,   728, -1040,  -355
  -813,   689,  1992,  1098, -1773,  -395
  -385,  1641,  1686,   489, -1501,  -674
   416,  -611,  1647, -1601, -1267,  -395
  1013,  -421,  2038,   655,   714,  -469
 -2515,    48,  3077,  1082,   506,  -387
 -1032,  1424,  1490,  -258, -1789,  -509
   159,   922,   740,  -731,  -696,  -155
  -347,   423,  1967, -1023,   -83,    13
  -443,  -431,  1983,  -440,    57,    -3
  -701,  -266,  2503, -1031,   228,  -128
   414,   639,   429, -1539,  -797,  -423
  -719,  -856,  3423,  -858, -1401,   -82
  1828,  -462,   108,   373,   753,  -285
 -1269,    80,  2695,  1759,   405,    62
   -98,   216,  1873,   481,  -844,  -298
  -187,   523,  1687,   104,   401,  -215
